eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
there are two chickens in the backyard and two in the front yard.,zwei hühner sind im hinterhof und zwei im vorgarten.,there are two chickens in the backyard and two in the front yard .,<sos> zwei huhner sind im hinterhof und zwei im vorgarten .,zwei huhner sind im hinterhof und zwei im vorgarten . <eos>,14,11
it's not easy being married to tom.,"es ist nicht leicht, mit tom verheiratet zu sein.",it is not easy being married to tom .,"<sos> es ist nicht leicht , mit tom verheiratet zu sein .","es ist nicht leicht , mit tom verheiratet zu sein . <eos>",9,12
shall i close the door?,soll ich die tür zumachen?,shall i close the door ?,<sos> soll ich die tur zumachen ?,soll ich die tur zumachen ? <eos>,6,7
you must not give up hope.,du darfst die hoffnung nicht aufgeben.,you must not give up hope .,<sos> du darfst die hoffnung nicht aufgeben .,du darfst die hoffnung nicht aufgeben . <eos>,7,8
tom lost.,tom hat verloren.,tom lost .,<sos> tom hat verloren .,tom hat verloren . <eos>,3,5
i hope you get well soon.,"ich hoffe, sie werden bald wieder gesund.",i hope you get well soon .,"<sos> ich hoffe , sie werden bald wieder gesund .","ich hoffe , sie werden bald wieder gesund . <eos>",7,10
i can't sell that to you.,ich kann dir das nicht verkaufen.,i can not sell that to you .,<sos> ich kann dir das nicht verkaufen .,ich kann dir das nicht verkaufen . <eos>,8,8
is that for me?,ist das für mich?,is that for me ?,<sos> ist das fur mich ?,ist das fur mich ? <eos>,5,6
our tv is out of order.,unser fernseher ist kaputt.,our tv is out of order .,<sos> unser fernseher ist kaputt .,unser fernseher ist kaputt . <eos>,7,6
tom told me that he didn't win.,"tom erzählte mir, dass er nicht gewonnen hat.",tom told me that he did not win .,"<sos> tom erzahlte mir , dass er nicht gewonnen hat .","tom erzahlte mir , dass er nicht gewonnen hat . <eos>",9,11
"yesterday, i bought a book.",gestern habe ich ein buch gekauft.,"yesterday , i bought a book .",<sos> gestern habe ich ein buch gekauft .,gestern habe ich ein buch gekauft . <eos>,7,8
tom thinks mary is kind of cute.,tom findet maria irgendwie süß.,tom thinks mary is kind of cute .,<sos> tom findet maria irgendwie su .,tom findet maria irgendwie su . <eos>,8,7
can you play the organ?,können sie orgel spielen?,can you play the organ ?,<sos> konnen sie orgel spielen ?,konnen sie orgel spielen ? <eos>,6,6
i know you want to go home.,"ich weiß, dass du nach hause gehen willst.",i know you want to go home .,"<sos> ich wei , dass du nach hause gehen willst .","ich wei , dass du nach hause gehen willst . <eos>",8,11
the island is uninhabited.,die insel ist unbewohnt.,the island is uninhabited .,<sos> die insel ist unbewohnt .,die insel ist unbewohnt . <eos>,5,6
how did you come by the money?,wie bist du an das geld gekommen?,how did you come by the money ?,<sos> wie bist du an das geld gekommen ?,wie bist du an das geld gekommen ? <eos>,8,9
he is not honest at all.,er ist alles andere als aufrichtig.,he is not honest at all .,<sos> er ist alles andere als aufrichtig .,er ist alles andere als aufrichtig . <eos>,7,8
we have monday off.,wir haben montag frei.,we have monday off .,<sos> wir haben montag frei .,wir haben montag frei . <eos>,5,6
"if i'd stayed any longer, i would've gotten bored.","wenn ich noch länger geblieben wäre, wäre mir langweilig geworden.","if i would stayed any longer , i would have gotten bored .","<sos> wenn ich noch langer geblieben ware , ware mir langweilig geworden .","wenn ich noch langer geblieben ware , ware mir langweilig geworden . <eos>",13,13
tom seems busy.,tom scheint beschäftigt zu sein.,tom seems busy .,<sos> tom scheint beschaftigt zu sein .,tom scheint beschaftigt zu sein . <eos>,4,7
his aim in life was to become a great doctor.,"sein lebensziel war es, ein berühmter arzt zu werden.",his aim in life was to become a great doctor .,"<sos> sein lebensziel war es , ein beruhmter arzt zu werden .","sein lebensziel war es , ein beruhmter arzt zu werden . <eos>",11,12
he's studying.,er studiert gerade.,he is studying .,<sos> er studiert gerade .,er studiert gerade . <eos>,4,5
she advised him not to go.,"sie riet ihm, nicht zu gehen.",she advised him not to go .,"<sos> sie riet ihm , nicht zu gehen .","sie riet ihm , nicht zu gehen . <eos>",7,9
i wouldn't have trusted tom either.,ich hätte tom auch nicht vertraut.,i would not have trusted tom either .,<sos> ich hatte tom auch nicht vertraut .,ich hatte tom auch nicht vertraut . <eos>,8,8
i can swim as well as you.,ich kann genauso gut schwimmen wie du.,i can swim as well as you .,<sos> ich kann genauso gut schwimmen wie du .,ich kann genauso gut schwimmen wie du . <eos>,8,9
i'm used to the smell.,ich bin an den geruch gewöhnt.,i am used to the smell .,<sos> ich bin an den geruch gewohnt .,ich bin an den geruch gewohnt . <eos>,7,8
this is boring.,das ist langweilig.,this is boring .,<sos> das ist langweilig .,das ist langweilig . <eos>,4,5
this is the life that i chose.,"das ist das leben, das ich gewählt habe.",this is the life that i chose .,"<sos> das ist das leben , das ich gewahlt habe .","das ist das leben , das ich gewahlt habe . <eos>",8,11
am i older than you?,bin ich älter als sie?,am i older than you ?,<sos> bin ich alter als sie ?,bin ich alter als sie ? <eos>,6,7
tom can understand mary's problem to some extent.,tom kann marys problem einigermaßen verstehen.,tom can understand mary 's problem to some extent .,<sos> tom kann marys problem einigermaen verstehen .,tom kann marys problem einigermaen verstehen . <eos>,10,8
he can't work properly until he's had his cup of joe.,"er kann nicht richtig arbeiten, solange er nicht sein käffchen hatte.",he can not work properly until he is had his cup of joe .,"<sos> er kann nicht richtig arbeiten , solange er nicht sein kaffchen hatte .","er kann nicht richtig arbeiten , solange er nicht sein kaffchen hatte . <eos>",14,14
i love you for that.,ich liebe dich dafür.,i love you for that .,<sos> ich liebe dich dafur .,ich liebe dich dafur . <eos>,6,6
check your tire pressure.,prüfe deinen reifendruck.,check your tire pressure .,<sos> prufe deinen reifendruck .,prufe deinen reifendruck . <eos>,5,5
try and calm down.,"versuche, dich zu beruhigen.",try and calm down .,"<sos> versuche , dich zu beruhigen .","versuche , dich zu beruhigen . <eos>",5,7
mary was amazed at how precisely tom sensed how she was feeling.,"maria war erstaunt, wie genau tom ihre gefühle erahnte.",mary was amazed at how precisely tom sensed how she was feeling .,"<sos> maria war erstaunt , wie genau tom ihre gefuhle erahnte .","maria war erstaunt , wie genau tom ihre gefuhle erahnte . <eos>",13,12
that's very inconsiderate.,das ist sehr unüberlegt.,that is very inconsiderate .,<sos> das ist sehr unuberlegt .,das ist sehr unuberlegt . <eos>,5,6
you're an unreliable witness.,sie sind ein unzuverlässiger zeuge.,you are an unreliable witness .,<sos> sie sind ein unzuverlassiger zeuge .,sie sind ein unzuverlassiger zeuge . <eos>,6,7
i didn't know tom then.,ich kannte tom damals nicht.,i did not know tom then .,<sos> ich kannte tom damals nicht .,ich kannte tom damals nicht . <eos>,7,7
"mary thought that tom would ask her to the prom, but he asked someone else.","maria dachte, tom würde sie zum ball bitten, doch er bat eine andere.","mary thought that tom would ask her to the prom , but he asked someone else .","<sos> maria dachte , tom wurde sie zum ball bitten , doch er bat eine andere .","maria dachte , tom wurde sie zum ball bitten , doch er bat eine andere . <eos>",17,17
you should've done it yourself.,du hättest es selbst tun sollen.,you should have done it yourself .,<sos> du hattest es selbst tun sollen .,du hattest es selbst tun sollen . <eos>,7,8
who swam?,wer schwamm?,who swam ?,<sos> wer schwamm ?,wer schwamm ? <eos>,3,4
tom visited the colosseum in rome.,tom besuchte das kolosseum in rom.,tom visited the colosseum in rome .,<sos> tom besuchte das kolosseum in rom .,tom besuchte das kolosseum in rom . <eos>,7,8
i wonder what tom is reading now.,was liest tom wohl gerade?,i wonder what tom is reading now .,<sos> was liest tom wohl gerade ?,was liest tom wohl gerade ? <eos>,8,7
i won't answer questions.,ich antworte auf keine fragen.,i will not answer questions .,<sos> ich antworte auf keine fragen .,ich antworte auf keine fragen . <eos>,6,7
the meeting has been postponed until tomorrow.,die sitzung ist auf morgen verschoben worden.,the meeting has been postponed until tomorrow .,<sos> die sitzung ist auf morgen verschoben worden .,die sitzung ist auf morgen verschoben worden . <eos>,8,9
only a few students understood the matter.,nur ein paar studenten verstanden den stoff.,only a few students understood the matter .,<sos> nur ein paar studenten verstanden den stoff .,nur ein paar studenten verstanden den stoff . <eos>,8,9
i awoke to find myself famous.,ich wachte auf und war berühmt geworden.,i awoke to find myself famous .,<sos> ich wachte auf und war beruhmt geworden .,ich wachte auf und war beruhmt geworden . <eos>,7,9
this is an interesting question.,das ist eine interessante frage.,this is an interesting question .,<sos> das ist eine interessante frage .,das ist eine interessante frage . <eos>,6,7
what do you need the money for?,wofür brauchst du das geld denn?,what do you need the money for ?,<sos> wofur brauchst du das geld denn ?,wofur brauchst du das geld denn ? <eos>,8,8
he looks very tired.,er sieht sehr müde aus.,he looks very tired .,<sos> er sieht sehr mude aus .,er sieht sehr mude aus . <eos>,5,7
what are you and tom doing?,was macht tom und du?,what are you and tom doing ?,<sos> was macht tom und du ?,was macht tom und du ? <eos>,7,7
she is far from beautiful.,sie ist überhaupt nicht schön.,she is far from beautiful .,<sos> sie ist uberhaupt nicht schon .,sie ist uberhaupt nicht schon . <eos>,6,7
did you go to the doctor?,warst du beim arzt?,did you go to the doctor ?,<sos> warst du beim arzt ?,warst du beim arzt ? <eos>,7,6
a boy needs a father he can look up to.,"ein junge braucht einen vater, zu dem er aufsehen kann.",a boy needs a father he can look up to .,"<sos> ein junge braucht einen vater , zu dem er aufsehen kann .","ein junge braucht einen vater , zu dem er aufsehen kann . <eos>",11,13
is tom coming?,kommt tom?,is tom coming ?,<sos> kommt tom ?,kommt tom ? <eos>,4,4
tom grabbed a handful of popcorn out of the bag and then handed it to mary.,tom nahm sich eine handvoll popcorn aus der tüte und reichte diese dann maria.,tom grabbed a handful of popcorn out of the bag and then handed it to mary .,<sos> tom nahm sich eine handvoll popcorn aus der tute und reichte diese dann maria .,tom nahm sich eine handvoll popcorn aus der tute und reichte diese dann maria . <eos>,17,16
why are we celebrating?,warum feiern wir?,why are we celebrating ?,<sos> warum feiern wir ?,warum feiern wir ? <eos>,5,5
you should tell tom mary doesn't have to do that.,"ihr solltet tom sagen, dass maria das nicht muss.",you should tell tom mary does not have to do that .,"<sos> ihr solltet tom sagen , dass maria das nicht muss .","ihr solltet tom sagen , dass maria das nicht muss . <eos>",12,12
i'm watching that.,ich beobachte das.,i am watching that .,<sos> ich beobachte das .,ich beobachte das . <eos>,5,5
where is your school?,wo ist deine schule?,where is your school ?,<sos> wo ist deine schule ?,wo ist deine schule ? <eos>,5,6
why do you have to do it?,warum musst du das tun?,why do you have to do it ?,<sos> warum musst du das tun ?,warum musst du das tun ? <eos>,8,7
she thinks of nothing but making money.,sie denkt an nichts anderes als ans geldverdienen.,she thinks of nothing but making money .,<sos> sie denkt an nichts anderes als ans geldverdienen .,sie denkt an nichts anderes als ans geldverdienen . <eos>,8,10
i almost dropped a plate.,ich habe fast einen teller fallen lassen.,i almost dropped a plate .,<sos> ich habe fast einen teller fallen lassen .,ich habe fast einen teller fallen lassen . <eos>,6,9
tom needs a sharp knife.,tom benötigt ein scharfes messer.,tom needs a sharp knife .,<sos> tom benotigt ein scharfes messer .,tom benotigt ein scharfes messer . <eos>,6,7
hurry up or you'll be late.,beeile dich! sonst kommst du zu spät!,hurry up or you will be late .,<sos> beeile dich ! sonst kommst du zu spat !,beeile dich ! sonst kommst du zu spat ! <eos>,8,10
my best friend is from australia.,mein bester freund kommt aus australien.,my best friend is from australia .,<sos> mein bester freund kommt aus australien .,mein bester freund kommt aus australien . <eos>,7,8
tom walked away and soon disappeared into the fog.,tom ging davon und verschwand alsbald im nebel.,tom walked away and soon disappeared into the fog .,<sos> tom ging davon und verschwand alsbald im nebel .,tom ging davon und verschwand alsbald im nebel . <eos>,10,10
you'd better stay in bed.,sie bleiben besser im bett.,you would better stay in bed .,<sos> sie bleiben besser im bett .,sie bleiben besser im bett . <eos>,7,7
i'm not certain what to do.,"ich bin mir nicht sicher, was ich tun soll.",i am not certain what to do .,"<sos> ich bin mir nicht sicher , was ich tun soll .","ich bin mir nicht sicher , was ich tun soll . <eos>",8,12
this makes no sense.,das macht keinen sinn.,this makes no sense .,<sos> das macht keinen sinn .,das macht keinen sinn . <eos>,5,6
you can always find baked goods somewhere on my grocery list.,du wirst immer irgendwo backwaren auf meinem einkaufszettel finden.,you can always find baked goods somewhere on my grocery list .,<sos> du wirst immer irgendwo backwaren auf meinem einkaufszettel finden .,du wirst immer irgendwo backwaren auf meinem einkaufszettel finden . <eos>,12,11
it took me more time than usual to get here today.,ich habe heute länger als sonst hierher gebraucht.,it took me more time than usual to get here today .,<sos> ich habe heute langer als sonst hierher gebraucht .,ich habe heute langer als sonst hierher gebraucht . <eos>,12,10
tom isn't at all selfish.,tom ist überhaupt nicht selbstsüchtig.,tom is not at all selfish .,<sos> tom ist uberhaupt nicht selbstsuchtig .,tom ist uberhaupt nicht selbstsuchtig . <eos>,7,7
we found one.,wir haben eins gefunden.,we found one .,<sos> wir haben eins gefunden .,wir haben eins gefunden . <eos>,4,6
that was the most exciting concert i have ever been to.,"das war das faszinierendste konzert, bei dem ich jemals war.",that was the most exciting concert i have ever been to .,"<sos> das war das faszinierendste konzert , bei dem ich jemals war .","das war das faszinierendste konzert , bei dem ich jemals war . <eos>",12,13
how far is it from here to the coast?,wie weit ist es von hier zur küste?,how far is it from here to the coast ?,<sos> wie weit ist es von hier zur kuste ?,wie weit ist es von hier zur kuste ? <eos>,10,10
i hope you'll get his support.,"ich hoffe, du wirst seine unterstützung bekommen.",i hope you will get his support .,"<sos> ich hoffe , du wirst seine unterstutzung bekommen .","ich hoffe , du wirst seine unterstutzung bekommen . <eos>",8,10
thank you for coming.,"danke, dass sie gekommen sind!",thank you for coming .,"<sos> danke , dass sie gekommen sind !","danke , dass sie gekommen sind ! <eos>",5,8
tom didn't arrive home until dawn.,tom schaffte es nicht vor der morgendämmerung nach hause.,tom did not arrive home until dawn .,<sos> tom schaffte es nicht vor der morgendammerung nach hause .,tom schaffte es nicht vor der morgendammerung nach hause . <eos>,8,11
the chair is not near the window.,der stuhl ist nicht in fensternähe.,the chair is not near the window .,<sos> der stuhl ist nicht in fensternahe .,der stuhl ist nicht in fensternahe . <eos>,8,8
tom won't stop you.,tom wird dir nichts in den weg legen.,tom will not stop you .,<sos> tom wird dir nichts in den weg legen .,tom wird dir nichts in den weg legen . <eos>,6,10
we're running out of supplies.,unsere vorräte gehen zu ende.,we are running out of supplies .,<sos> unsere vorrate gehen zu ende .,unsere vorrate gehen zu ende . <eos>,7,7
i hope tom is right.,"ich hoffe, tom hat recht.",i hope tom is right .,"<sos> ich hoffe , tom hat recht .","ich hoffe , tom hat recht . <eos>",6,8
what time is sunrise?,wann geht die sonne auf?,what time is sunrise ?,<sos> wann geht die sonne auf ?,wann geht die sonne auf ? <eos>,5,7
is that one of ours?,gehört der uns?,is that one of ours ?,<sos> gehort der uns ?,gehort der uns ? <eos>,6,5
i thought you'd be alone.,"ich dachte, ihr wäret allein.",i thought you would be alone .,"<sos> ich dachte , ihr waret allein .","ich dachte , ihr waret allein . <eos>",7,8
nobody has ever done anything like this before.,so etwas hat noch nie jemand getan.,nobody has ever done anything like this before .,<sos> so etwas hat noch nie jemand getan .,so etwas hat noch nie jemand getan . <eos>,9,9
this is my book.,dies ist mein buch.,this is my book .,<sos> dies ist mein buch .,dies ist mein buch . <eos>,5,6
he is always neatly dressed.,er ist immer ordentlich gekleidet.,he is always neatly dressed .,<sos> er ist immer ordentlich gekleidet .,er ist immer ordentlich gekleidet . <eos>,6,7
tom sent a picture of his friends to mary.,tom schickte maria ein bild von seinen freunden.,tom sent a picture of his friends to mary .,<sos> tom schickte maria ein bild von seinen freunden .,tom schickte maria ein bild von seinen freunden . <eos>,10,10
tom didn't read any of the messages mary sent to him.,"tom las keine der nachrichten, die maria ihm geschickt hatte.",tom did not read any of the messages mary sent to him .,"<sos> tom las keine der nachrichten , die maria ihm geschickt hatte .","tom las keine der nachrichten , die maria ihm geschickt hatte . <eos>",13,13
i felt naked.,ich fühlte mich nackt.,i felt naked .,<sos> ich fuhlte mich nackt .,ich fuhlte mich nackt . <eos>,4,6
tom doesn't want to go to boston with me.,tom möchte nicht mit mir nach boston fahren.,tom does not want to go to boston with me .,<sos> tom mochte nicht mit mir nach boston fahren .,tom mochte nicht mit mir nach boston fahren . <eos>,11,10
do you remember when you last saw tom?,"erinnern sie sich noch, wann sie tom das letzte mal gesehen haben?",do you remember when you last saw tom ?,"<sos> erinnern sie sich noch , wann sie tom das letzte mal gesehen haben ?","erinnern sie sich noch , wann sie tom das letzte mal gesehen haben ? <eos>",9,15
add more water to it.,fügt mehr wasser hinzu!,add more water to it .,<sos> fugt mehr wasser hinzu !,fugt mehr wasser hinzu ! <eos>,6,6
we have to find the right person for each position.,wir müssen für jede stelle die passende person aussuchen.,we have to find the right person for each position .,<sos> wir mussen fur jede stelle die passende person aussuchen .,wir mussen fur jede stelle die passende person aussuchen . <eos>,11,11
how much longer are you planning to be in australia?,wie lange wollt ihr noch in australien bleiben?,how much longer are you planning to be in australia ?,<sos> wie lange wollt ihr noch in australien bleiben ?,wie lange wollt ihr noch in australien bleiben ? <eos>,11,10
come back to the table and sit down.,komm wieder an den tisch und setz dich!,come back to the table and sit down .,<sos> komm wieder an den tisch und setz dich !,komm wieder an den tisch und setz dich ! <eos>,9,10
don't do anything.,tue nichts!,do not do anything .,<sos> tue nichts !,tue nichts ! <eos>,5,4
can you stand?,kannst du stehen?,can you stand ?,<sos> kannst du stehen ?,kannst du stehen ? <eos>,4,5
do you have any objection?,habt ihr irgendwelche einwände?,do you have any objection ?,<sos> habt ihr irgendwelche einwande ?,habt ihr irgendwelche einwande ? <eos>,6,6
tom told me he already has plans for monday.,"tom sagte mir, er habe für montag schon etwas vor.",tom told me he already has plans for monday .,"<sos> tom sagte mir , er habe fur montag schon etwas vor .","tom sagte mir , er habe fur montag schon etwas vor . <eos>",10,13
tom has two brothers. one lives in boston and the other one lives in chicago.,"tom hat zwei brüder. der eine lebt in boston, der andere in chicago.",tom has two brothers . one lives in boston and the other one lives in chicago .,"<sos> tom hat zwei bruder . der eine lebt in boston , der andere in chicago .","tom hat zwei bruder . der eine lebt in boston , der andere in chicago . <eos>",17,17
i majored in psychology.,ich habe psychologie als hauptfach studiert.,i majored in psychology .,<sos> ich habe psychologie als hauptfach studiert .,ich habe psychologie als hauptfach studiert . <eos>,5,8
"if it happens again, we want to be ready.","wenn das wieder passiert, wollen wir vorbereitet sein.","if it happens again , we want to be ready .","<sos> wenn das wieder passiert , wollen wir vorbereitet sein .","wenn das wieder passiert , wollen wir vorbereitet sein . <eos>",11,11
they know what they have done to me.,"sie wissen, was sie mir angetan haben.",they know what they have done to me .,"<sos> sie wissen , was sie mir angetan haben .","sie wissen , was sie mir angetan haben . <eos>",9,10
thanks for the ride.,danke fürs mitnehmen.,thanks for the ride .,<sos> danke furs mitnehmen .,danke furs mitnehmen . <eos>,5,5
i know you didn't do what you were supposed to do.,"ich weiß, sie haben nicht getan, was sie sollten.",i know you did not do what you were supposed to do .,"<sos> ich wei , sie haben nicht getan , was sie sollten .","ich wei , sie haben nicht getan , was sie sollten . <eos>",13,13
do you know the reason?,kennst du den grund?,do you know the reason ?,<sos> kennst du den grund ?,kennst du den grund ? <eos>,6,6
you used to love coming here.,sonst bist du immer gern hierhergekommen.,you used to love coming here .,<sos> sonst bist du immer gern hierhergekommen .,sonst bist du immer gern hierhergekommen . <eos>,7,8
i'm going to the bank.,ich gehe zur bank.,i am going to the bank .,<sos> ich gehe zur bank .,ich gehe zur bank . <eos>,7,6
i thought that's why tom was here.,"deshalb war tom hier, dachte ich.",i thought that is why tom was here .,"<sos> deshalb war tom hier , dachte ich .","deshalb war tom hier , dachte ich . <eos>",9,9
i'm thankful to be alive.,"ich bin dankbar, dass ich noch lebe.",i am thankful to be alive .,"<sos> ich bin dankbar , dass ich noch lebe .","ich bin dankbar , dass ich noch lebe . <eos>",7,10
this makes me sad.,das macht mich traurig.,this makes me sad .,<sos> das macht mich traurig .,das macht mich traurig . <eos>,5,6
tom sent me a present.,tom schickte mir ein geschenk.,tom sent me a present .,<sos> tom schickte mir ein geschenk .,tom schickte mir ein geschenk . <eos>,6,7
choose one.,suche eines aus.,choose one .,<sos> suche eines aus .,suche eines aus . <eos>,3,5
we'll run in the park.,wir werden im park laufen.,we will run in the park .,<sos> wir werden im park laufen .,wir werden im park laufen . <eos>,7,7
"you never wanted children, did you?","du wolltest nie kinder haben, oder?","you never wanted children , did you ?","<sos> du wolltest nie kinder haben , oder ?","du wolltest nie kinder haben , oder ? <eos>",8,9
i was in australia all last month.,ich war den ganzen letzten monat in australien.,i was in australia all last month .,<sos> ich war den ganzen letzten monat in australien .,ich war den ganzen letzten monat in australien . <eos>,8,10
i'll get there at about 2:30.,ich werde gegen 2:30 uhr dort ankommen.,i will get there at about 2:30 .,<sos> ich werde gegen 2:30 uhr dort ankommen .,ich werde gegen 2:30 uhr dort ankommen . <eos>,8,9
he postponed the party.,er verschob das fest.,he postponed the party .,<sos> er verschob das fest .,er verschob das fest . <eos>,5,6
"i called tom's house, but no one answered.","ich habe bei tom angerufen, aber es ging keiner ran.","i called tom 's house , but no one answered .","<sos> ich habe bei tom angerufen , aber es ging keiner ran .","ich habe bei tom angerufen , aber es ging keiner ran . <eos>",11,13
tom has three cousins.,tom hat drei cousins.,tom has three cousins .,<sos> tom hat drei cousins .,tom hat drei cousins . <eos>,5,6
tom knew mary was lying to john.,"tom wusste, dass mary john anlog.",tom knew mary was lying to john .,"<sos> tom wusste , dass mary john anlog .","tom wusste , dass mary john anlog . <eos>",8,9
i've crossed the atlantic several times.,ich habe schon mehrmals den atlantik überquert.,i have crossed the atlantic several times .,<sos> ich habe schon mehrmals den atlantik uberquert .,ich habe schon mehrmals den atlantik uberquert . <eos>,8,9
two people say they heard a gunshot.,"zwei leute sagen, sie hätten einen schuss gehört.",two people say they heard a gunshot .,"<sos> zwei leute sagen , sie hatten einen schuss gehort .","zwei leute sagen , sie hatten einen schuss gehort . <eos>",8,11
